Semantic field	Indonesian gloss	English gloss	Enggano (Brouwer early 1850s)	Enggano (Boewang 1854)	Enggano South? (v. Rosenberg 1855)	Enggano Northwest? (vd Straten & S. 1855)	Enggano North (Walland 1864)	Enggano (Francis 1870)	Enggano Northwest (v. Rosenberg 1878)	Enggano (Oudemans 1879)	Enggano (Helfrich 1888)	Enggano Kèfoe (Helfrich & Pieters 1891)	Enggano Barohia (Helfrich & Pieters 1891)	Enggano (Modigliani 1894)	Enggano Pulau Dua 1895 (Stockhof 1987)	Enggano (Helfrich 1916)	Enggano (Amran et al. 1979)	Enggano (Capell 1982)	Enggano (Nothofer 1986 ms.)	Enggano (Kähler 1987)	Enggano root (Kähler 1987)	Enggano Malakoni (Kasim et al. 1987)	Enggano Banjar Sari (Kasim et al. 1987)	Enggano Meok (Yoder 2011)	Pak Aron Elicitation 2019	Contemporary Enggano (Zakaria et al. 2023)	Contemporary Enggano root	Remarks	Number of Attestations	PAN etymon	PAN gloss	PAN source	PMP etymon	PMP gloss	PMP source	Etymological source	Remark on etymology
human features	berani	brave									kabaho																	meaning1888 'not afraid'	1								
other	merusak	break																		kinãnãĩñãʔã	nãnãĩñãʔã			nanaiaʔ	kahkananaya, kahnanaiya			meaning1987K 'perish'	3								
other	patah	break (intr.)										kikĕra	kikĕra	cará	kikĕrā					kikaraʔa	karaʔa							meaning1891&1894 'broken (of long things)'_meaning1895 'shattered'	5								
other	patah	break off (intr.)												chiòha						kikōʔõʔã	kōʔõʔã							meaning1894 'broken'_meaning1987K 'buckle, break off (intr.)'	2								
other	patah	break off (intr.)										kakoh	kakoh		[oea ka bai]koā					kikou	kou			ka-kɘi, ka-kɘ	kibubakė, kakė	kibuh bakė		meaning1891 'broken into pieces'_meaning1895 'broken (rope)'_meaning1987K 'break off (intr.), break apart (intr.)'_note2011&2019: first words means 'about to break', second word means 'broken'	7								
other	patah	break off (intr.)																		kunãʔã	kunãʔã			pa-kanaʔ	kipakana			meaning2011&2019 'break apart (intr.)'	3								
other	patah	break off (intr.)										kifakokoki	kifakokoki							kipakəʔa	kəʔa							meaning1891 'broken (not working)'	3								
other	mematahkan	break off (tr.)										èiepfoe	èiepfoe	eápia						kipə́aʔa, kabupə́aʔa, ka(haba)bə́aʔa	pəa (III)			kah-ʔapɨaʔ, ka-puʔ	kahapuėk, kapu'			meaning1891 'cut'_meaning1894 'cut wood'_meaning1987K 'break apart (tr.), break off (tr.), split'_note2011&2019: first word means 'break (of waves)', second word means 'collapsed'	6								
other	mematahkan	break off (tr.)																		kikopi	[e]kopi (I)								1	*Cəbiq	split, divide, break off	ACD	*təbiq	split, divide, break off	ACD	Zobel	cf. Simeulue təpi(x)
other	mematahkan	break off (tr.)													kihèkok					kixekoʔoáʔa	hekoʔo(a)							meaning1895 'broken (a stick)'_meaning1987K 'break off/through (tr.)'	2								
other	melanggar	break rules										kikahauba	kikahauba																2								
body parts	payudara	breast						ekoko		é koko		èkokok²	èkokok²	ecoco, coco	èkŏkŏ(k)		etutu	kokə		ekoko	koko			kok	kok			meaning1895 'breast (female), nipple'_meaning1982 'breasts'_note1894: first word means 'breast', second word means 'breast milk'	11	*susu	female breast	ACD	*susu	female breast	ACD	Lafeber 1922:22, Edwards 2015:97-98	irregular *u > /o/; cf. ?*puqun > e-poo, cf. Mentawai tot-tot (Lafeber 1922:22)
body parts	payudara	breast	parakidai			berakidoija																						note: second part means 'belly', first part unclear	2								
food and beverage	susu	breast milk													bèkŏkŏ(k)					ebē ukoko	[e]bē							note: lit. 'breast water'	2								
body parts	tulang dada	breastbone																		eʔā uãmãhã	[e]ʔā								1								
activities	menyusui	breastfeed												pecocòbu	pākŏkŏ(k)	kipa(ha)koko		koko (I)		kipa(ha)koko	koko							meaning1895 'suck at breast'_cf. breast	5								
abstract things	napas	breath										èafök²	èafök²		ahŏpŏ(k)					eahõpṍʔõ	hõpõʔõ							meaning1895 'breathe'_meaning1987K 'the act of breathing'	4								
activities	bernapas	breathe												chipòro						kixõpõʔõ, kiõhõpõʔõ	hõpõʔõ	hap'aq	hap'aq	hãpɘ̃ʔ, kah-pɘʔ	hãpė, kahpė				6								
other	menyeduh	brew										kahafoek²oei	kahafoek²oei							kipukõʔõ͜i	pukõʔõ͜i							meaning1891 'bubble up (well)'_meaning1987K 'cut, draw (palm wine)'	3								
human objects	jembatan	bridge										èkoméa	èkoméa							ekõmẽã	[e]kõmẽ			kome	kome			meaning1891 'walk on narrow way / meniti'	5								
colours	terang	bright				nieka nieka						kaniekie	kaniekie		janieka					ka(mã)nĩkã	nĩkã			ka-nik	yaka'ik			meaning1895 'put on (light), light'	7								
transfer	membawa	bring				kemanajai						nakĕ, amĕnak²	nakĕ, amĕnak²	[uuaha] mena, manà	amĕna(k)					kamãnãʔã, kinãʔã, kaʔinãʔã u-, nãʔã͜õ	nãʔã			naʔ	na			meaning1894 'go and take'_meaning1895 'get'_meaning1987K 'bring, fetch, receive, take (on/up/away)'_meaning2011&2019 'take'_note1891: first word means 'bring, carry', second word means 'take (away)'_note1894: first word means 'bring', second part means 'take'_note1894: first element of the first word means 'I am going', the second element of the first word is a conjugated form of the root na-	8								
activities	membesarkan (anak)	bring up (child)																kipauda											1								causative of uda 'live'
activities	membesarkan (anak)	bring up (child)																		kahao	ahao								1								
other	patah	broken													kihanĕ														1								
object features	putus	broken (separated)										kahaukĕ	kahaukĕ																2								
human objects	sapu	broom										èhöadie	èhöarie	ehoari						e(pa)əhəadi	həadi (I)			iɨhɨan	yėhan, yẽhean			meaning1894 'sweep'	6								
kinship	saudara laki-laki	brother	johé[-adoedoe]			djoha [adoedie]	pa-djoheh																					cf. young man	3								
other	bergelegak (air panas)	bubble up (hot water)										kifoefoe	kifoefoe							kipupu	pupu								3								
plants	tunas	bud										poek²	poek²															note: Engl. gloss unclear, could be the same as puko 'navel' because Kähler has epuko uʔito 'spadix of the banana tree'	2								
weapons	peluru	bullet													èara fŏŏkie													lit. 'child of shooting', cf. shoot	1								
animals	kumbang	bumblebee			gerfifi			carafifi																				meaning1870 'bee'	2								
other	menyenggol	bump into																						ʔũ					1								
other	menyenggol	bump into																							ko'bek				1								
body parts	sanggul	bun (hair)										èmoojĕ	èmoojĕ							emũʔĩñã	pṹʔũĩ							meaning1987K 'hair bun of women'_cf. knot	3								root is pũʔũĩ 'to knot' < pũʔũ 'knot'
human objects	ikat	bundle										kidi foek²jak	kidi foek²jak															note: must be a form of pṹʔũĩ 'to knot'_cf. knot	2								
other	terbakar	burn (intr.)												cachíco, bachíco	kakiho(k), kahihŏ, kihŏ [èjobie]					kikixo, kadixo	kixo							meaning1894 'burn from overcooking'_meaning1987K 'to light, to heat up, to burn, to roast'_note1895: first word means 'burn', second word means 'fire', third word means 'make fire' but literally means 'the fire is burning'	3	?			*səjəb	burn	Zobel		still uncertain, but cf. Proto Philippines *səjəb (Charles 1974), cf. also k-ĩnõ 'dive' for *sə > ki-
other	terbakar	burn (intr.)													kidoeroeka		kirduduki, karuduki			ki-duduki	duduki (I)			duduk	duduk			meaning1895 'fire'_note1979: first word means 'burned', second word means 'burn (tr.)'	5								
other	terbakar	burn (intr.)				behoba abie obie																						note1855vdS: ""behoba"" perhaps means 'has come', ""abie obie"" means 'fire'	1								
other	terbakar	burn (intr.)													karahoe														1								
activities	membakar	burn (tr.)											haibi		oehaibi					kah(a͜)ibi	hibi							meaning1987K 'to light, to set fire to, to burn (tr.)'	3								
activities	membakar	burn (tr.)													fahabōha(k)														1								
activities	mengubur	bury										kadoko	kadoko							kadeʔo	keʔo								3								
activities	mengubur	bury										kök²ök²	kök²ök²		kakau					kikeʔo	keʔo							meaning1895 'funeral ceremony'_meaning1987K 'bury, entomb'	4								
plants	semak-semak	bush									èaboewe				èoboewĕ					eabúa	[e]abúa							meaning1888: 'young shrubland'_meaning1987K 'half-old garden'	3								
plants	semak-semak	bush										baafoeka	baapoeka																2								
function words	tetapi	but												[iò]chi						ke	ke							note1894: first part perhaps corresponds to iʔiō, cf. by	2								
animals	kupu-kupu	butterfly									popa	èfoofa	èpoopa		èfŏŏfa, èpŏŏpa			fōfa		epãʔõpãʔõ, epõʔõpãõ	[e]pãʔõpãʔõ							meaning1982 'cloud'	6								
body parts	pantat	buttocks										èhokai, hoka, èhokanie	èhokai, hoka, èhokanie		èhokai, hŏkai					ehokai, ehõkãĩ	[e]hokai (II)							meaning1895 'posterior, buttocks'_meaning1987K 'buttocks, anus, foot (of a tree)'_note1891&1895: first word means 'buttocks', second word means 'tail', third word means 'tailbone'	4								derived from hẽkũ 'sit' or a blend ehō 'interior' (bowels?) and ekai 'feces'?
plants		buttress root																		ẽnãnĩ	[ẽ]nãnĩ								1				*dalij / *daliŋ	buttress root / buttress root	ACD	Edwards 2015:97 / Smith 2020:356	both etymologies are possible according to Smith (2020:356)
activities	membeli	buy			[pàg]ehlie	[keb]oelie			pahgélie			èodie	èodie	èoli	[oeaba]ōdie					k(i)odi, kaha͜odi	odi			ʔɘr, kir-dɘr, ba-bɘr, kir-bɘr	kahėd, kahėr			note1855vR&1855vdS: meaning of first part unclear_note1895: first part probably means 'thing'_cf. price	10	*bəli	buy	ACD	*bəli	buy	ACD	Lafeber 1922:23, Edwards 2015:97-98, Nothofer 1986:100	irregular *b > Ø; possibly loan from Bugis əlli, Nothofer (1986:100) has *(b)əli for PAN reconstruct Enggano e-odi 'price', cf. e-odi
position	di dekat	by (near)										ho	ho							ʔo, ʔō, iʔiō	iʔiō								3								
	kurungan	cage										kidiofè	kidiofè																2								
food	kue	cake													kadifakoe														1								
	kue	cake													parihoja(k)														1								
body parts	betis	calf										fiofio	piopio	pio², epio pio	fiŏ-fiŏ, piŏ-piŏ					epĩõpĩõ, epĩəpĩə	pĩõ:							note1894: first word means 'calf', second word means 'leg'	5								
activities	memanggil	call					pa-harie					ahadi	ahadi	ahadi	aharie					kahadi	hadi								6								
	tenang	calm										hobahaba	hobahaba																2								
ability	bisa (dapat)	can												noha chia															1								
ability	bisa (dapat)	can			habaha-pipimei							kabĕhöjak²	kabĕhöjak²		kīfoehaj					kipəhai, pohoi	pəhai			pɨhɨaʔ	kipėhėa	pihia'		meaning1891&1895 'able'	8								
ability	bisa (dapat)	can				nape wakemaina																							1								
ability	bisa (dapat)	can										anoahak²	anoahak²		anoaha(k)													meaning1895 'able'	3								
	selokan	canal (small)																						ianome				note2011: The Indonesian translation for this word is 'siring'	1								
	selokan	canal (small)																							ekobė koik				1								
war items	meriam	cannon	boeka-koeka												pŏŏkie					eopoʔoki	poʔoki:							meaning1895 'rifle, cannon, gun powder, k.o. small cannon'_meaning1987K 'shooting instrument, gun, pistol, cannon'_cf. shoot	3								
	merawat pasangan almarhum	care for spouse of deceased																						ki-dadaʔɨɘh					1								
animals	bangkai	carrion																		earoʔoa									1								
	mendukung	carry on back													oefā					kũpã	ũpã								2								
	menggendong	carry on hip													kiŏfaj													meaning1895 'carry on back, carry on hip'	1								
	memikul	carry on shoulders with a carrying pole					koleh					kolè	kolè		kolè [amie amie], kolè [poeha]	kolè				kole, kore, kode	kole							meaning1864 'carry'_meaning1895 'to shoulder'_note1895: first word means 'carry on shoulders', second word means 'carry on head'_note1895: second element in first word means 'shoulder', second element in second word means 'gable'	6								
	mengukir	carve										amahènie								kamẽhẽnĩ	mẽhẽnĩ								2								
plants	ubi	cassava/yam/tuber			obie																							loanword from Malay ubi?	1								
plants	ubi	cassava/yam/tuber																		ekixẽnȭ									1								
plants	ubi	cassava/yam/tuber (Manihot utilissima)	e-wa			ewa					éba	èba(ĕ)	èba(ĕ)		ebae					ebao	[e]bao			ba	eba				9								
plants	ubi	cassava/yam/tuber (Manihot utilissima)										kikobak²	kikobak²		kikoha(k)		kikokirkeke			ekikoha	[e]kikoha			ki-koh, kɘ	kikoh, kė			meaning1979 'pile of yam'_note2011&2019: the first word must be a more conservative form	7								
activities	mengulurkan	cast rope																		kipa͜iʔio	iʔio:			ʔa-ioiaʔ				meaning1987K 'cast spear'	2								
activities	mengulurkan	cast rope																							konona				1								
tools	jaring	casting net									èoboieĕ									eʔoʔoboi	[e]ʔoʔoboi							meaning1888 'fishing net'	2								
	kebiri	castrated										foe èkè[hounè]	poe èkè[hounè]							kipuʔeʔe͜i, kabuʔeʔe͜i	puʔeʔe͜i							meaning1987K 'castrate, make (a woman) infertile, sterilize'_note1891: meaning of second part unclear, perhaps 'woman'?	3								
	kucing	cat												eáo															1								
animals	kucing	cat									mèo		èmè		mèo	meo?				emẽ́ãũ	[e]mẽ́ãũ			mea	mea	mea		meaning1895 'animal, beast'_note1888: This word belongs to Helfrich's ""second dialect"" and is contrasted with bèo-bèo from the ""first dialect"" (cf. dog)	8								onomatopoeic
activities	menangkap	catch																		kidaʔa(o)	daʔa(o)								1								
activities	menangkap	catch										kaie	kaie																2	*dakəp	catch	ACD	*dakəp	catch	ACD	Zobel	Possible doublet ki-nãʔã 'take'.
ki-daʔa is glossed by Kähler as 'erlangen', but in the texts clearly has the meaning 'catch' (game like boars etc.)
	menangkap (air)	catch (water)										kono	kono							kõnõʔõ	kõnõʔõ								3								
animals	ulat	caterpillar									dafèhodoe																		1								
disease	penyebab penyakit	cause of disease									kioboe najomoe																		1								
human objects	langit-langit rumah	ceiling beam													pohanoema					epohanũmã, epohonũmã	[e]pohanũmã							meaning1987K 'roof ridge'	2								
animals	lipan	centipede	oko			oko																							2								
animals	lipan	centipede																		kitaháu	kitaháu			kitaha	kitaha	kitaha	kitaha	meaning1987K 'millipede (venomous)'	4								perhaps derived from hau 'bite'
	yakin	certain													wakipoehaiā														1								
	kapur (sirih)	chalk																						kakeʔep	kaka'ep	ka ke'ep	ka ke'ep		3								literally: 'bird shit', cf. shit, cf. bird
activities	mengubah	change									koonĕ	mahonĕ	mahonĕ															meaning1888 'exchange, trade'_note1888: This word belongs to Helfrich's ""second dialect""	3								
	kacau	chaotic										falihoujak²	parihoujak²																2								
	arang	charcoal										èkohok èjobi	èkohok èjobi							ekõhõ uʔobi	[e]kõhõ								3								literally: ""the black of the fire"", cf. black, cf. fire
	mengusir	chase (away)										kakarai	kakarai							kakakrei, kikakadei, kakarai	kakarai			ka-karai	kakarai			meaning1987K 'follow, chase away, chase, move away (intr.)'	5								
	murah	cheap													noki èodie					hĩnũkĩ eodi	hĩnũkĩ							meaning1987K 'be cheap'	2								literally: ""the price is small"", cf. small, cf. price
body parts	pipi	cheek					papah	e fafa				èfafa	èpapa	(e)papa	èfāfā, epāpā					epapa	[e]papa			pap	epap	pap	pap		10	?			*baqbaq~beqbeq	mouth	ACD	Edwards 2015:94-97	This word is rather related to PCEMP *papaR 'cheek', which has the reflex pape in Ulumanda' (Zobel), cf. Nias papa (Lafeber 1922:23)
body parts	dada	chest					amah	emana	amah	émāha		èamah	èamah	eamaha	èămah			ama		ẽ-ãmãhã								meaning1982 'breasts'	10								
food and beverage	mengunyah	chew					mamah																	mama	kimama				3								
	mengunyah	chew																						ki-mama					1								
animals	ayam	chicken	kokoh		koko	koko	èkoh-èkoh	eokeiko		eokeiko		koko	koko		èkŏkŏ													note1864&1879: inferred from rooster and hen	9								
people	anak	child					harah	ejara	harah	éjara (émane/éhoda)		èara	èara	ara, iara	èara		ear	araʔ		eara, eada	[e]ara	‘ya	‘yaā			year		meaning1879 'son, daughter'_meaning1982 'egg'_meaning1891&1895 'child, egg'_meaning1982 'egg'_note1894: first word means 'child', second word means 'egg'_meaning1979 'child, cousin'_note1987K: first word means 'child, spawn, egg', second word means 'child'_note: This word refers to a person's own child	14	*aNak	child, offspring	ACD, Nothofer 1986:100	*anak	child	ACD	Lafeber 1922:25, Edwards 2015:94-97, Nothofer 1986:100, ACD 183, Kähler 1987:4, 20	Nothofer's form is e-ara, Edward's and ACD's is e-ada
